Nationality,Positions,Best Position,Field Position,Name,Age,Height,Weight,Club,Start Year,End Year,↓OVA,POT,Value,Value_int,Wage,Wage_amt,Release Clause
Albania,ST,ST,ATT,A. Broja,18,188cm,75kg,Vitesse,2020,2022,60,80,€675K,675000.0,€1K,1000.0,€1.1M
England,RM,LM,MID,S. Matthews,23,176cm,71kg,Crawley Town,2020,2022,60,64,€350K,350000.0,€2K,2000.0,€502K
Poland,"CDM, CM",CB,DEF,W. Hajda,20,182cm,75kg,Górnik Zabrze,2017,2022,60,73,€550K,550000.0,€750,750.0,€741K
South Africa,"CAM, LM",RM,MID,E. Chislett,21,178cm,70kg,AFC Wimbledon,2020,2021,60,68,€550K,550000.0,€1K,1000.0,€585K
Czech Republic,CB,CB,DEF,T. Břečka,26,185cm,79kg,Kasimpaşa SK,2020,2023,60,65,€325K,325000.0,€2K,2000.0,€498K
Japan,"CM, CDM",CDM,MID,S. Abe,22,171cm,67kg,FC Tokyo,2020,2021,60,68,€550K,550000.0,€2K,2000.0,€435K
Spain,CM,CM,MID,Martín Calderón,21,183cm,77kg,FC Paços de Ferreira,2020,2024,60,68,€550K,550000.0,€1K,1000.0,€690K
Turkey,CB,CB,DEF,H. Hatipoğlu,30,185cm,78kg,BB Erzurumspor,2020,2021,60,60,€200K,200000.0,€2K,2000.0,€332K
Saudi Arabia,"RM, LM",RW,ATT,A. Jafar,26,165cm,60kg,Damac FC,2019,2021,60,60,€275K,275000.0,€3K,3000.0,€363K
Norway,GK,GK,GK,M. Ranmark,24,194cm,86kg,Molde FK,2017,2021,60,68,€475K,475000.0,€800,800.0,€360K
Netherlands,GK,GK,GK,K. Bucker,24,198cm,86kg,Heracles Almelo,2018,2021,60,67,€425K,425000.0,€900,900.0,€363K
Saudi Arabia,"LM, CAM",LM,MID,M. Harzan,31,165cm,55kg,Damac FC,2020,2023,60,60,€200K,200000.0,€3K,3000.0,€297K
Paraguay,"RB, CB",RB,DEF,J. Ojeda,22,173cm,67kg,Sportivo Luqueño,2019,2024,60,67,€475K,475000.0,€500,500.0,€588K
France,ST,ST,ATT,B. Ndilu,19,186cm,80kg,FC Nantes,2019,2024,60,76,€650K,650000.0,€3K,3000.0,€1.2M
Poland,RM,CAM,MID,A. Łyszczarz,20,177cm,69kg,Śląsk Wrocław,2017,2023,60,74,€600K,600000.0,€1K,1000.0,€889K
Portugal,GK,GK,GK,Rui Encarnação,22,185cm,73kg,CD Nacional,2020,2021,60,67,€425K,425000.0,€1K,1000.0,€506K
Iceland,LW,RM,MID,V. Ingimundarson,21,181cm,70kg,Strømsgodset IF,2020,2023,60,68,€550K,550000.0,€800,800.0,€435K
Republic of Ireland,"LM, RM",LM,MID,B. Kavanagh,19,172cm,63kg,Shamrock Rovers,2018,2020,60,73,€575K,575000.0,€500,500.0,€870K
England,"RM, LM",RW,ATT,T. Allan,20,180cm,70kg,Accrington Stanley,Jun ,Loan,60,72,€600K,600000.0,€5K,5000.0,€0
Australia,ST,ST,ATT,A. Toure,20,185cm,82kg,Adelaide United,2019,2023,60,74,€600K,600000.0,€750,750.0,€844K
Serbia,"LM, RM",LM,MID,D. Savić,19,173cm,64kg,SK Rapid Wien,2019,2024,60,74,€575K,575000.0,€3K,3000.0,€956K
France,CB,CB,DEF,L. Morante,23,194cm,88kg,La Berrichonne de Châteauroux,2020,2022,60,68,€500K,500000.0,€900,900.0,€536K
Netherlands,CM,CAM,MID,R. Agca,18,182cm,72kg,Heracles Almelo,2020,2022,60,73,€575K,575000.0,€500,500.0,€778K
Turkey,"CM, CDM",CM,MID,H. Acar,25,183cm,75kg,Kayserispor,2018,2021,60,63,€325K,325000.0,€2K,2000.0,€519K
England,"CB, CM",CDM,MID,K. Watts,20,192cm,75kg,Plymouth Argyle,Jun ,Loan,60,73,€550K,550000.0,€4K,4000.0,€0
Paraguay,CB,CB,DEF,H. Espínola,25,186cm,85kg,Nacional Asunción,2020,2020,60,66,€350K,350000.0,€500,500.0,€588K
Japan,GK,GK,GK,K. Kirihata,33,187cm,77kg,Kashiwa Reysol,2006,2021,60,60,€80K,80000.0,€1K,1000.0,€138K
Turkey,"LM, RM",RM,MID,S. Kınalı,21,181cm,76kg,Trabzonspor,2020,2023,60,68,€550K,550000.0,€3K,3000.0,€660K
Mexico,CB,CB,DEF,L. López,26,188cm,81kg,FC Juárez,2018,2024,60,63,€275K,275000.0,€2K,2000.0,€408K
England,"CDM, CM",CDM,MID,D. Boateng,19,169cm,56kg,Crystal Palace,2019,2021,60,77,€600K,600000.0,€4K,4000.0,€1.1M
Spain,"CB, CDM",CB,DEF,Pepe Sánchez,20,183cm,75kg,Granada CF,2019,2021,60,75,€550K,550000.0,€3K,3000.0,€1.2M
Portugal,LW,CAM,MID,David Costa,19,168cm,64kg,Racing Club de Lens,2020,2021,60,77,€625K,625000.0,€4K,4000.0,€1.2M
Korea Republic,CB,CB,DEF,Hong Joon Ho,26,190cm,77kg,GwangJu FC,2016,2023,60,65,€325K,325000.0,€900,900.0,€318K
England,"RM, LM",CAM,MID,L. Ndukwu,21,177cm,72kg,Leicester City,2016,2021,60,70,€550K,550000.0,€8K,8000.0,€683K
Germany,"RM, RW, LW",RM,MID,M. Franzke,21,184cm,69kg,1. FC Magdeburg,Jun ,Loan,60,72,€600K,600000.0,€2K,2000.0,€0
France,CM,CM,MID,A. Valerio,20,185cm,75kg,Nîmes Olympique,2019,2022,60,75,€600K,600000.0,€3K,3000.0,€1.2M
Venezuela,LB,LB,DEF,S. Notaroberto,22,183cm,75kg,Caracas FC,2020,2024,60,70,€525K,525000.0,€500,500.0,€705K
Senegal,ST,ST,ATT,M. Diallo,25,177cm,72kg,Grenoble Foot 38,2020,2022,60,63,€325K,325000.0,€1K,1000.0,€502K
Germany,"LM, LB",LM,MID,M. Rüdiger,25,176cm,74kg,VfB Lübeck,2020,2021,60,61,€300K,300000.0,€700,700.0,€381K
Bulgaria,ST,ST,ATT,T. Chunchukov,25,187cm,75kg,Academica Clinceni,2020,2024,60,65,€375K,375000.0,€1K,1000.0,€392K
Poland,ST,ST,ATT,A. Buksa,17,188cm,73kg,Wisła Kraków,2019,2023,60,77,€625K,625000.0,€500,500.0,€839K
Germany,"ST, CAM",ST,ATT,N. Woltemade,18,198cm,78kg,SV Werder Bremen,2019,2023,60,76,€625K,625000.0,€2K,2000.0,€1M
Argentina,GK,GK,GK,J. Flere,22,182cm,68kg,Cádiz CF,2019,2021,60,68,€475K,475000.0,€3K,3000.0,€576K
England,GK,GK,GK,J. Belshaw,29,191cm,77kg,Harrogate Town,2017,2023,60,60,€170K,170000.0,€1K,1000.0,€263K
Greece,"LB, LM",LB,DEF,V. Zagaritis,19,178cm,68kg,Panathinaikos FC,2019,2021,60,74,€550K,550000.0,€500,500.0,€1.1M
Italy,GK,GK,GK,E. Caprile,18,191cm,74kg,Leeds United,2020,2023,60,78,€550K,550000.0,€1K,1000.0,€919K
England,CB,CB,DEF,C. Hall,27,193cm,79kg,Harrogate Town,2019,2021,60,62,€250K,250000.0,€2K,2000.0,€402K
China PR,"RM, LM",CAM,MID,Che Shiwei,23,183cm,73kg,Tianjin TEDA FC,2020,2021,60,68,€550K,550000.0,€2K,2000.0,€525K
Saudi Arabia,"RM, LM",RM,MID,A. Qaisi,30,171cm,65kg,Damac FC,2020,2025,60,60,€240K,240000.0,€3K,3000.0,€330K
Turkey,CB,CB,DEF,E. Bayram,17,186cm,71kg,Galatasaray SK,2019,2022,60,83,€725K,725000.0,€500,500.0,€1.2M
Republic of Ireland,"CM, CAM, CDM",CM,MID,C. Forrester,27,180cm,68kg,St. Patrick's Athletic,2019,2022,60,61,€275K,275000.0,€550,550.0,€374K
China PR,ST,ST,ATT,Wang Ziming,23,187cm,76kg,Beijing Sinobo Guoan FC,2017,2022,60,67,€500K,500000.0,€3K,3000.0,€540K
Jordan,ST,ST,ATT,M. Afana,29,178cm,75kg,Abha Club,2020,2024,60,60,€250K,250000.0,€3K,3000.0,€347K
Canada,"RB, LB",RB,DEF,J. Córdova,25,165cm,63kg,CD Huachipato,2017,2021,60,65,€325K,325000.0,€1K,1000.0,€342K
Argentina,ST,ST,ATT,F. Dettler,22,174cm,71kg,Patronato,2019,2022,60,71,€550K,550000.0,€2K,2000.0,€578K
Mexico,"CM, CDM",CM,MID,S. Naveda,19,180cm,73kg,Club América,2019,2022,60,73,€575K,575000.0,€3K,3000.0,€872K
Italy,GK,GK,GK,F. Rossi,29,193cm,83kg,Atalanta,2017,2021,60,60,€170K,170000.0,€6K,6000.0,€255K
Moldova,ST,ST,ATT,A. Boiciuc,22,191cm,82kg,Academica Clinceni,2020,2022,60,69,€550K,550000.0,€1K,1000.0,€504K
Argentina,CM,CAM,MID,L. González,20,169cm,68kg,Independiente,2016,2023,60,74,€600K,600000.0,€2K,2000.0,€956K
Republic of Ireland,"CAM, RM",RM,MID,J. McGrath,23,175cm,71kg,St. Mirren,2020,2022,60,67,€500K,500000.0,€1K,1000.0,€585K
Uzbekistan,"RW, CAM, LW",LM,MID,J. Jaloliddinov,18,164cm,59kg,Lokomotiv Moscow,2020,2025,60,76,€625K,625000.0,€3K,3000.0,€946K
Netherlands,CB,CB,DEF,V. van den Bogert,20,185cm,78kg,Willem II,2017,2021,60,71,€500K,500000.0,€1K,1000.0,€553K
Republic of Ireland,"RB, RWB",RB,DEF,D. McNamara,21,174cm,72kg,St. Johnstone FC,Jun ,Loan,60,72,€575K,575000.0,€2K,2000.0,€0
India,"CDM, CM",CM,MID,B. Sidhu,32,171cm,68kg,lub,Free,Free,60,60,€0,0.0,€0,0.0,€0
Saudi Arabia,"CDM, CM",CDM,MID,H. Jafry,28,176cm,70kg,Al Fayha,2017,2021,60,60,€220K,220000.0,€3K,3000.0,€297K
England,ST,ST,ATT,A. Semenyo,20,183cm,75kg,Bristol City,2017,2023,60,75,€600K,600000.0,€6K,6000.0,€1.1M
United States,"RW, ST",CAM,MID,A. Perez,24,183cm,77kg,Los Angeles FC,2019,2020,60,65,€375K,375000.0,€1K,1000.0,€433K
Venezuela,"CAM, CM, RM",CAM,MID,K. Romero,25,169cm,62kg,Aragua FC,2019,2024,60,63,€325K,325000.0,€500,500.0,€556K
Germany,"RW, LW",ST,ATT,Y. Schlößer,18,173cm,72kg,Bayer 04 Leverkusen,2020,2021,60,76,€625K,625000.0,€4K,4000.0,€988K
Germany,"CAM, CF, LM",ST,ATT,M. Eberwein,24,192cm,78kg,Hallescher FC,2020,2022,60,66,€400K,400000.0,€900,900.0,€454K
Netherlands,CAM,CAM,MID,D. Ubbink,27,180cm,73kg,Podbeskidzie Bielsko-Biała,2019,2020,60,61,€275K,275000.0,€950,950.0,€342K
South Africa,"RM, RWB",RM,MID,K. Ayer,20,171cm,62kg,Varbergs BoIS,2018,2021,60,72,€600K,600000.0,€500,500.0,€544K
Argentina,"CAM, LM",CAM,MID,E. Beltramone,21,160cm,60kg,Club Atlético Talleres,2020,2021,60,75,€600K,600000.0,€2K,2000.0,€934K
Scotland,"LB, CDM",LWB,DEF,E. Erhahon,19,178cm,66kg,St. Mirren,2017,2021,60,77,€600K,600000.0,€650,650.0,€950K
Italy,LB,LB,DEF,G. Quagliata,20,180cm,70kg,Heracles Almelo,2020,2022,60,74,€575K,575000.0,€950,950.0,€882K
Argentina,LB,LB,DEF,B. Negro,22,182cm,80kg,Patronato,2019,2021,60,69,€525K,525000.0,€2K,2000.0,€454K
United States,CB,CB,DEF,G. Phillips,23,190cm,83kg,Wycombe Wanderers,2020,2021,60,69,€500K,500000.0,€2K,2000.0,€615K
Saudi Arabia,"CDM, CM",CM,MID,M. Kanabah,27,170cm,70kg,Al Fateh,2019,2021,60,63,€275K,275000.0,€4K,4000.0,€397K
China PR,"CDM, CM",CDM,MID,Sun Shilin,31,178cm,72kg,Shanghai Greenland Shenhua FC,2017,2020,60,60,€170K,170000.0,€2K,2000.0,€248K
Poland,RB,RB,DEF,P. Janasik,22,178cm,68kg,Śląsk Wrocław,2020,2024,60,68,€525K,525000.0,€1K,1000.0,€426K
England,CM,CAM,MID,J. Maddox,21,179cm,69kg,Vitória Guimarães,2020,2024,60,74,€600K,600000.0,€1K,1000.0,€1.2M
United States,CDM,CM,MID,J. Portillo,27,168cm,61kg,Real Salt Lake,2019,2023,60,61,€250K,250000.0,€1K,1000.0,€320K
Uruguay,ST,ST,ATT,G. Viera,19,176cm,77kg,Santa Clara,2020,2024,60,75,€600K,600000.0,€700,700.0,€1.2M
China PR,"RM, LM, ST",ST,ATT,Lin Liangming,23,179cm,73kg,Dalian YiFang FC,Dec ,Loan,60,67,€500K,500000.0,€2K,2000.0,€0
Argentina,CAM,CAM,MID,E. Cuello,23,180cm,75kg,LA Galaxy,2019,2023,60,67,€500K,500000.0,€1K,1000.0,€510K
France,"ST, RM",ST,ATT,J. Le Douaron,22,189cm,77kg,Stade Brestois 29,2020,2021,60,70,€550K,550000.0,€3K,3000.0,€715K
New Zealand,"RB, ST, CB",ST,ATT,N. Billingsley,22,186cm,85kg,Minnesota United FC,2020,2020,60,66,€375K,375000.0,€1K,1000.0,€425K
Germany,ST,ST,ATT,N. Hebisch,30,191cm,82kg,VfB Lübeck,2019,2021,60,60,€240K,240000.0,€800,800.0,€290K
Turkey,CM,CDM,MID,K. Yılmaz,19,177cm,67kg,Beşiktaş JK,2019,2022,60,75,€575K,575000.0,€5K,5000.0,€1.1M
Philippines,LB,CB,DEF,J. Tabinas,21,182cm,77kg,Gamba Osaka,Jan ,Loan,60,67,€475K,475000.0,€1K,1000.0,€0
Mexico,"CB, CDM",CB,DEF,E. Orona,21,181cm,72kg,Pachuca,2017,2022,60,73,€575K,575000.0,€2K,2000.0,€872K
Saudi Arabia,GK,GK,GK,H. Shaian,31,184cm,70kg,Al Taawoun,2018,2021,60,60,€130K,130000.0,€3K,3000.0,€215K
Australia,"CAM, LM",CAM,MID,D. Genreau,21,174cm,73kg,Macarthur FC,2020,2023,60,71,€550K,550000.0,€500,500.0,€508K
France,"CDM, CM",CB,DEF,T. Njiké,22,178cm,75kg,AC Ajaccio,2020,2023,60,67,€475K,475000.0,€900,900.0,€536K
Spain,"LW, CF",CAM,MID,Raúl Moro,17,168cm,60kg,Lazio,2020,2022,60,80,€675K,675000.0,€2K,2000.0,€1.1M
Turkey,CM,CM,MID,S. Örnek,31,192cm,82kg,Hatayspor,2016,2021,60,60,€200K,200000.0,€2K,2000.0,€351K
Paraguay,RM,RM,MID,J. Argüello,28,178cm,72kg,Sportivo Luqueño,2019,2024,60,60,€250K,250000.0,€500,500.0,€452K
France,CB,CB,DEF,I. Cissé,19,196cm,86kg,KAA Gent,2019,2022,60,74,€550K,550000.0,€2K,2000.0,€903K
Republic of Ireland,"RB, CB",RB,DEF,J. Clarke,20,183cm,70kg,Mansfield Town,2019,2021,60,70,€525K,525000.0,€2K,2000.0,€585K
Argentina,"CAM, CM",CAM,MID,E. Cardozo,19,167cm,59kg,Racing Club,2017,2022,60,80,€700K,700000.0,€2K,2000.0,€1.1M
Colombia,GK,GK,GK,J. García,18,186cm,77kg,Getafe CF,2019,2021,60,77,€550K,550000.0,€500,500.0,€954K
Romania,"RB, LB",RB,DEF,B. Csiszér,21,176cm,69kg,Sepsi OSK,2019,2024,60,71,€525K,525000.0,€1K,1000.0,€504K
Hungary,CAM,CAM,MID,K. Horváth,18,172cm,70kg,Torino,2020,2024,60,76,€625K,625000.0,€2K,2000.0,€988K
Spain,GK,GK,GK,Barredo,16,177cm,75kg,SD Ponferradina,2019,2021,60,73,€475K,475000.0,€500,500.0,€598K
Portugal,CM,CAM,MID,Reko Silva,21,175cm,67kg,Portimonense SC,2020,2023,60,70,€550K,550000.0,€1K,1000.0,€748K
Poland,CM,CM,MID,M. Czyżycki,22,175cm,72kg,Warta Poznań,2020,2022,60,69,€550K,550000.0,€750,750.0,€504K
Argentina,"ST, CAM",CAM,MID,I. Protti,25,175cm,71kg,Club Atlético Tigre,2020,2022,60,65,€375K,375000.0,€3K,3000.0,€419K
North Macedonia,"RB, LB, CDM",RB,DEF,A. Hajdari,20,172cm,66kg,SK Rapid Wien,2018,2024,60,71,€525K,525000.0,€3K,3000.0,€553K
Germany,"RB, LB, RM",RM,MID,M. Schikora,25,181cm,76kg,FSV Zwickau,2020,2021,60,63,€300K,300000.0,€500,500.0,€351K
Saudi Arabia,GK,GK,GK,B. Al Baqi,30,188cm,84kg,Al Wehda,2020,2024,60,60,€160K,160000.0,€3K,3000.0,€231K
England,ST,ST,ATT,J. Muldoon,31,178cm,69kg,Harrogate Town,2018,2022,60,60,€210K,210000.0,€2K,2000.0,€333K
England,CB,CB,DEF,J. Branthwaite,18,193cm,70kg,Everton,2020,2023,60,82,€750K,750000.0,€3K,3000.0,€1.3M
Uruguay,"LB, LM",LB,DEF,M. Araújo,20,177cm,70kg,Puebla FC,2020,2021,60,76,€625K,625000.0,€1K,1000.0,€988K
France,ST,RM,MID,R. Muhammed,26,184cm,82kg,BB Erzurumspor,2019,2021,60,61,€300K,300000.0,€3K,3000.0,€506K
Argentina,GK,GK,GK,L. Ingolotti,20,180cm,78kg,Club Atlético Aldosivi,2017,2022,60,73,€525K,525000.0,€950,950.0,€674K
England,"LM, ST",LM,MID,M. Hippolyte,25,183cm,74kg,Scunthorpe United,2020,2022,60,63,€325K,325000.0,€3K,3000.0,€456K
Mexico,GK,GK,GK,G. Pozos,27,180cm,76kg,Club León,2018,2023,60,62,€220K,220000.0,€3K,3000.0,€302K
Spain,CM,CAM,MID,Francho Serrano,18,177cm,72kg,Real Zaragoza,2020,2024,60,81,€775K,775000.0,€600,600.0,€1.2M
Bolivia,GK,GK,GK,B. Uraezaña,25,186cm,80kg,Club Blooming,2014,2025,60,62,€240K,240000.0,€500,500.0,€401K
England,"ST, CAM",ST,ATT,A. Leitch-Smith,30,173cm,75kg,Morecambe,2018,2021,60,60,€240K,240000.0,€2K,2000.0,€350K
Austria,"CDM, CB",CB,DEF,N. Celic,21,184cm,74kg,WSG Tirol,2020,2023,60,70,€525K,525000.0,€1K,1000.0,€495K
Republic of Ireland,"CM, CAM, LW",CAM,MID,D. Watts,23,178cm,68kg,Shamrock Rovers,2018,2020,60,69,€550K,550000.0,€600,600.0,€569K
Germany,"RB, CB, LB",CB,DEF,J. Stanisic,20,186cm,77kg,Bayern München II,2019,2021,60,75,€575K,575000.0,€1K,1000.0,€882K
Montenegro,ST,ST,ATT,M. Skenderović,22,183cm,75kg,TSG 1899 Hoffenheim,2017,2021,60,69,€550K,550000.0,€5K,5000.0,€618K
Switzerland,"CAM, LM",RM,MID,M. Fejzullahu,26,173cm,68kg,1. FC Saarbrücken,2019,2021,60,61,€300K,300000.0,€1K,1000.0,€366K
England,"CM, CDM",CDM,MID,D. Bulman,41,175cm,75kg,Crawley Town,2017,2021,60,60,€0,0.0,€1K,1000.0,€0
Japan,GK,GK,GK,S. Ando,29,185cm,81kg,Kawasaki Frontale,2009,2021,60,61,€190K,190000.0,€2K,2000.0,€234K
United States,"CDM, CM",CDM,MID,W. Kuzain,21,178cm,64kg,Sporting Kansas City,2018,2020,60,70,€525K,525000.0,€900,900.0,€510K
Ecuador,CB,CB,DEF,H. Cangá,33,184cm,83kg,El Nacional,2020,2024,60,60,€120K,120000.0,€500,500.0,€215K
Germany,GK,GK,GK,Y. Bangsow,22,192cm,84kg,Viktoria Köln,Jun ,Loan,60,70,€475K,475000.0,€2K,2000.0,€0
Scotland,CM,CAM,MID,S. Kelly,20,174cm,68kg,Ross County FC,Jun ,Loan,60,72,€600K,600000.0,€6K,6000.0,€0
Australia,"RB, CB",RWB,DEF,L. Miller,19,187cm,83kg,Central Coast Mariners,2019,2022,60,69,€500K,500000.0,€500,500.0,€399K
Japan,"ST, LW",CAM,MID,Y. Kusano,23,169cm,65kg,Yokohama FC,2019,2021,60,65,€375K,375000.0,€850,850.0,€364K
Peru,CB,CB,DEF,M. Reátegui,25,188cm,85kg,Club Atlético Grau,2020,2020,60,65,€325K,325000.0,€500,500.0,€556K
Saudi Arabia,"CAM, CDM, CM",CAM,MID,N. Al Omran,22,173cm,67kg,Al Shabab,2018,2023,60,69,€550K,550000.0,€5K,5000.0,€618K
Argentina,ST,ST,ATT,J. Da Rosa,22,171cm,69kg,Independiente,2020,2021,60,71,€550K,550000.0,€3K,3000.0,€595K
Netherlands,ST,ST,ATT,D. Redan,19,176cm,76kg,Hertha BSC,2019,2024,60,80,€700K,700000.0,€4K,4000.0,€1.2M
Uruguay,CB,CB,DEF,R. Cabrera,31,187cm,79kg,Nacional Potosí,2020,2023,60,60,€170K,170000.0,€500,500.0,€323K
Korea Republic,ST,ST,ATT,Kim Ju Kong,24,180cm,73kg,GwangJu FC,2019,2024,60,67,€500K,500000.0,€950,950.0,€435K
Germany,CAM,CAM,MID,R. Roesch,21,180cm,75kg,FC Augsburg,2018,2021,60,72,€600K,600000.0,€3K,3000.0,€750K
Australia,"LB, CB, LWB",LB,DEF,J. Clisby,28,180cm,72kg,Central Coast Mariners,2018,2021,60,60,€220K,220000.0,€550,550.0,€225K
England,CB,CB,DEF,S. Hird,32,182cm,76kg,Barrow,2019,2021,60,60,€160K,160000.0,€2K,2000.0,€228K
Austria,CAM,CAM,MID,A. Jukic,19,183cm,73kg,FK Austria Wien,2018,2021,60,71,€525K,525000.0,€2K,2000.0,€578K
Germany,"RM, RB",RM,MID,F. Heister,23,179cm,75kg,SSV Jahn Regensburg,2019,2022,60,66,€400K,400000.0,€2K,2000.0,€481K
Spain,GK,GK,GK,Carlos Mena,23,188cm,79kg,AD Alcorcón,2019,2021,60,70,€475K,475000.0,€1K,1000.0,€481K
Republic of Ireland,GK,GK,GK,E. McGinty,20,194cm,83kg,Sligo Rovers,2017,2020,60,68,€475K,475000.0,€500,500.0,€420K
Saudi Arabia,GK,GK,GK,A. Al Saleh,30,185cm,77kg,Ettifaq FC,2011,2022,60,60,€160K,160000.0,€3K,3000.0,€231K
Mexico,CB,CB,DEF,B. Vázquez,22,181cm,78kg,Club Atlas,2019,2022,60,72,€575K,575000.0,€2K,2000.0,€665K
Poland,CB,CB,DEF,A. Ławniczak,21,189cm,87kg,Warta Poznań,2019,2021,60,73,€575K,575000.0,€550,550.0,€741K
Argentina,CM,RM,MID,M. Hernández,21,173cm,66kg,Club Atlético Colón,2019,2023,60,71,€550K,550000.0,€2K,2000.0,€595K
Spain,RB,RB,DEF,Raúl Martín,20,175cm,70kg,CE Sabadell FC,2020,2021,60,71,€525K,525000.0,€1K,1000.0,€569K
Romania,"ST, RW",LM,MID,L. Nițu,19,183cm,75kg,Gaz Metan Mediaş,2020,2023,60,78,€650K,650000.0,€1K,1000.0,€889K
Uruguay,CM,CAM,MID,R. Nuñez,22,168cm,67kg,Centro Atlético Fénix,2020,2022,60,68,€550K,550000.0,€500,500.0,€705K
Norway,ST,ST,ATT,A. Helmersen,22,190cm,82kg,Rosenborg BK,2015,2020,60,71,€550K,550000.0,€1K,1000.0,€525K
Spain,"ST, CAM",ST,ATT,Julio Martínez,19,178cm,70kg,Málaga CF,2020,2024,60,74,€600K,600000.0,€1K,1000.0,€979K
Spain,ST,ST,ATT,Jandro,20,175cm,70kg,CE Sabadell FC,2018,2021,60,72,€600K,600000.0,€1K,1000.0,€656K
Japan,GK,GK,GK,G. Kawanami,29,192cm,84kg,Vegalta Sendai,2017,2021,60,60,€170K,170000.0,€800,800.0,€188K
England,"RB, CDM",CB,DEF,S. Bone,21,183cm,85kg,Waterford FC,2019,2020,60,67,€475K,475000.0,€500,500.0,€438K
Denmark,RWB,RWB,DEF,A. Bruus,21,184cm,79kg,Brøndby IF,2016,2023,60,72,€575K,575000.0,€2K,2000.0,€508K
France,"CF, CAM",CAM,MID,M. Robin,20,180cm,70kg,FC Metz,2020,2021,60,71,€550K,550000.0,€2K,2000.0,€770K
Spain,ST,ST,ATT,Unai,21,175cm,70kg,SD Eibar,2019,2021,60,71,€550K,550000.0,€3K,3000.0,€805K
Japan,LW,LW,ATT,Y. Yuzawa,29,167cm,60kg,Sagan Tosu,2020,2021,60,60,€240K,240000.0,€1K,1000.0,€250K
Switzerland,GK,GK,GK,S. Deana,30,190cm,86kg,MSV Duisburg,2019,2021,60,61,€180K,180000.0,€500,500.0,€244K
Ukraine,GK,GK,GK,Y. Meykher,20,184cm,76kg,UD Logroñés,2019,2021,60,71,€475K,475000.0,€700,700.0,€481K
Norway,"LM, RM",LM,MID,S. Mladenovic,26,177cm,65kg,Sandefjord Fotball,2019,2020,60,61,€300K,300000.0,€750,750.0,€318K
England,CB,CB,DEF,J. Coulson,31,191cm,75kg,Leyton Orient,2018,2021,60,60,€170K,170000.0,€2K,2000.0,€263K
Republic of Ireland,CB,CB,DEF,J. Mahon,20,186cm,84kg,Sligo Rovers,2017,2020,60,70,€500K,500000.0,€500,500.0,€525K
Norway,LW,LW,ATT,S. Tounekti,17,176cm,65kg,FK Bodø/Glimt,2020,2023,60,78,€625K,625000.0,€500,500.0,€750K
Argentina,RB,RB,DEF,R. Lozano,22,179cm,79kg,Club Atlético Huracán,2020,2023,60,67,€475K,475000.0,€2K,2000.0,€413K
Bolivia,ST,ST,ATT,J. Castillo,37,182cm,82kg,Oriente Petrolero,2019,2025,60,60,€80K,80000.0,€500,500.0,€151K
Japan,CF,CAM,MID,R. Fujimura,21,176cm,68kg,Hokkaido Consadole Sapporo,2018,2021,60,69,€550K,550000.0,€950,950.0,€471K
Argentina,ST,ST,ATT,E. Díaz,28,179cm,80kg,Club Atlético Tigre,2019,2022,60,60,€250K,250000.0,€3K,3000.0,€305K
Finland,"CB, RB",CB,DEF,H. Toivomäki,29,186cm,84kg,HJK Helsinki,2019,2020,60,61,€230K,230000.0,€500,500.0,€445K
Switzerland,ST,ST,ATT,C. Malele,26,184cm,87kg,FC Argeș,2020,2021,60,63,€325K,325000.0,€1K,1000.0,€356K
Paraguay,CB,CB,DEF,E. Duarte,26,166cm,74kg,Sportivo Luqueño,2020,2024,60,63,€275K,275000.0,€500,500.0,€512K
United States,CDM,CDM,MID,J. Torres,20,173cm,71kg,New York City FC,2019,2023,60,73,€550K,550000.0,€900,900.0,€797K
Colombia,"LM, LW, RM",RM,MID,S. Moreno,20,180cm,73kg,América de Cali,2019,2020,60,77,€650K,650000.0,€500,500.0,€911K
Japan,CB,CB,DEF,R. Matsuda,21,175cm,60kg,Gamba Osaka,2018,2021,60,69,€525K,525000.0,€1K,1000.0,€435K
Romania,CAM,ST,ATT,G. Cîmpanu,19,172cm,65kg,Universitatea Craiova,2020,2025,60,76,€625K,625000.0,€1K,1000.0,€889K
Argentina,LM,LM,MID,A. Marinelli,21,174cm,70kg,Rosario Central,2018,2021,60,73,€600K,600000.0,€2K,2000.0,€850K
Germany,RB,RB,DEF,L. Borges,19,183cm,76kg,Bayern München II,Jun ,Loan,60,78,€600K,600000.0,€3K,3000.0,€0
Switzerland,"CB, RB",CB,DEF,B. Omeragic,18,187cm,74kg,FC Zürich,2018,2023,60,80,€650K,650000.0,€650,650.0,€980K
Japan,LB,CB,DEF,T. Yamaguchi,20,171cm,70kg,Gamba Osaka,2018,2021,60,71,€525K,525000.0,€1K,1000.0,€471K
Mexico,RB,RB,DEF,D. Nava,20,172cm,62kg,Atlético de San Luis,2020,2024,60,74,€575K,575000.0,€2K,2000.0,€988K
England,"ST, RM",ST,ATT,M. Whittaker,19,183cm,76kg,Derby County,2019,2023,60,77,€650K,650000.0,€3K,3000.0,€1.1M
Argentina,GK,GK,GK,F. Costa,31,188cm,89kg,Patronato,2016,2021,60,60,€130K,130000.0,€2K,2000.0,€189K
Australia,"RM, LM",RM,MID,J. Sotirio,24,175cm,71kg,Wellington Phoenix,2019,2020,60,62,€325K,325000.0,€800,800.0,€331K
